:4
3V3IN1:1
3V3OUT1:1
5VIN1:1
5VOUT1:1
BOOT1:1
C1:1
C2:1
D1:1
D4:1
D5:1
DPOWER1:1
EN1:1
FAN1:1
HALL1:1
HALL2:1
HB1:1
HB2:1
I2C1:1
INPUT1:1
J1:1
J2:1
J3:1
MCCAP1:1
MCCAP2:1
MOS1:1
MOSFET4:1
MOTOR1:1
MOTOR2:1
MOTORC1:1
MOTORC2:1
MOTOR_1:1
MOTOR_2:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
RAILS1:1
R_BOOT1:1
R_EN1:1
THERM1:1
TR3:1
U2:1
U3:1
U4:1
VD_C1:1
VD_C2:1
VD_R1:1
